count,density,width,white,light,medium,dark,extra_dark,black,diameter,gauge,needles,feeders,rpm,shrinkage_length,shrinkage_width,stitch_length,tightness_factor
24.60416667,170,190,0,0,0,1,0,0,34,24,2568,6,18,-5.8,-7.3,0.286214953,17.33053662
24.60416667,170,190,0,0,0,1,0,0,34,24,2568,11,18,-5.8,-7.3,0.286214953,17.33053662
24.60416667,170,190,0,0,0,1,0,0,34,24,2568,11,18,-5.8,-7.3,0.286214953,17.33053662
29.525,185,234,0,0,1,0,0,0,34,24,2568,13,22,-8,-8,0.326129283,16.661157
29.525,185,234,1,0,0,0,0,0,34,24,2568,13,22,-8,-8,0.326129283,16.661157
19.68333333,140,150,0,0,0,1,0,0,30,24,2256,18,18,-9,-6,0.276152482,16.06572661
19.68333333,175,196,0,0,0,0,0,1,34,24,2568,20,18,-6,-6.3,0.298870717,14.84451315
19.68333333,175,196,0,0,1,0,0,0,34,24,2568,20,13,-3,-6,0.298870717,14.84451315
19.68333333,175,98,0,0,1,0,0,0,34,24,2568,20,18,-3,-6,0.298870717,14.84451315
19.68333333,175,196,0,0,0,1,0,0,34,24,2568,20,13,-5,-5,0.298870717,14.84451315
19.68333333,175,196,0,0,0,1,0,0,34,24,2568,20,13,-5,-5,0.298870717,14.84451315
19.68333333,175,196,0,0,0,0,0,1,34,24,2568,20,13,-2,-5,0.298870717,14.84451315
19.68333333,175,98,0,0,0,0,0,1,34,24,2568,20,13,-2,-5,0.298870717,14.84451315
19.68333333,175,196,0,1,0,0,0,0,34,24,2568,20,13,-4.9,-5.1,0.298870717,14.84451315
19.68333333,175,98,0,1,0,0,0,0,34,24,2568,20,13,-4.9,-5.1,0.298870717,14.84451315
19.68333333,175,196,0,0,0,0,0,1,34,24,2568,20,13,-2.6,-5.4,0.298870717,14.84451315
19.68333333,175,98,0,0,0,0,0,1,34,24,2568,20,13,-2.6,-5.4,0.298870717,14.84451315
19.68333333,175,196,0,1,0,0,0,0,34,24,2568,20,13,-5,-5,0.298870717,14.84451315
19.68333333,175,98,0,1,0,0,0,0,34,24,2568,20,13,-5,-5,0.298870717,14.84451315
19.68333333,175,196,0,0,1,0,0,0,34,24,2568,20,13,-5.5,-5.5,0.298870717,14.84451315
19.68333333,175,98,0,0,1,0,0,0,34,24,2568,20,13,-5.5,-5.5,0.298870717,14.84451315
19.68333333,175,196,0,0,0,1,0,0,34,24,2568,20,12,-6,-6,0.298870717,14.84451315
19.68333333,175,196,0,0,0,0,0,1,34,24,2568,20,18,-3,-6,0.298870717,14.84451315
19.68333333,175,196,0,1,0,0,0,0,34,24,2568,20,18,-4.4,-7.4,0.298870717,14.84451315
19.68333333,175,98,0,0,0,0,0,1,34,24,2568,20,18,-3,-6,0.298870717,14.84451315
19.68333333,175,98,0,1,0,0,0,0,34,24,2568,20,18,-4.4,-7.4,0.298870717,14.84451315
19.68333333,145,154,0,0,1,0,0,0,30,24,2256,20,15,-5,-8,0.257092199,17.25680634
19.68333333,145,175,0,0,1,0,0,0,34,24,2568,20,22,-5,-8,0.257009346,17.26236946
19.68333333,145,175,0,0,1,0,0,0,34,24,2568,20,22,-5,-8,0.257009346,17.26236946
29.525,175,196,0,0,0,0,0,1,34,24,2568,20,18,-6,-6.3,0.303154206,17.92385226
29.525,175,196,0,0,1,0,0,0,34,24,2568,20,13,-3,-6,0.303154206,17.92385226
29.525,175,98,0,0,1,0,0,0,34,24,2568,20,18,-3,-6,0.303154206,17.92385226
29.525,175,196,0,0,0,1,0,0,34,24,2568,20,13,-5,-5,0.303154206,17.92385226
29.525,175,196,0,0,0,1,0,0,34,24,2568,20,13,-5,-5,0.303154206,17.92385226
29.525,175,196,0,0,0,0,0,1,34,24,2568,20,13,-2,-5,0.303154206,17.92385226
29.525,175,98,0,0,0,0,0,1,34,24,2568,20,13,-2,-5,0.303154206,17.92385226
29.525,175,196,0,1,0,0,0,0,34,24,2568,20,13,-4.9,-5.1,0.303154206,17.92385226
29.525,175,98,0,1,0,0,0,0,34,24,2568,20,13,-4.9,-5.1,0.303154206,17.92385226
29.525,175,196,0,0,0,0,0,1,34,24,2568,20,13,-2.6,-5.4,0.303154206,17.92385226
29.525,175,98,0,0,0,0,0,1,34,24,2568,20,13,-2.6,-5.4,0.303154206,17.92385226
29.525,175,196,0,1,0,0,0,0,34,24,2568,20,13,-5,-5,0.303154206,17.92385226
29.525,175,98,0,1,0,0,0,0,34,24,2568,20,13,-5,-5,0.303154206,17.92385226
