count,density,width,white,light,medium,dark,extra_dark,black,diameter,gauge,needles,feeders,rpm,shrinkage_length,shrinkage_width,stitch_length
19.68333333,145,170,0,0,0,1,0,0,34,24,2568,102,22,6.5,1,0.261292835
19.68333333,155,91,0,0,0,0,0,1,34,28,2976,102,22,2,2,0.281081989
19.68333333,155,95,0,0,0,0,0,1,30,28,2640,88,24,2,2,0.281060606
19.68333333,155,169,0,0,0,0,0,1,30,28,2640,88,24,2,2,0.281060606
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,2,2,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,18,2.3,2,0.275537634
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,18,2.3,2,0.278897849
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,2.3,2,0.278897849
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,2.3,2,0.278897849
19.68333333,155,183,0,1,0,0,0,0,34,28,2976,102,22,3.5,2,0.251008065
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,100,23,4,2,0.293115942
24.60416667,165,175,0,0,0,1,0,0,32,24,2400,102,18,4,2,0.293125
24.60416667,165,175,0,0,0,1,0,0,34,24,2568,102,22,4,2,0.293029595
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4,2,0.281081989
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,100,23,4,2,0.293115942
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,2.8,2.1,0.278897849
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,24,2.8,2.1,0.278897849
19.68333333,155,92.5,0,0,0,0,0,1,34,28,2976,102,22,4.1,2.1,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4.1,2.1,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4.1,2.1,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4.1,2.1,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4.1,2.1,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4.1,2.1,0.281081989
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,100,23,3.8,2.3,0.295108696
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,100,23,3.8,2.3,0.295108696
19.68333333,155,92.5,0,0,0,0,0,1,34,28,2976,102,22,4,2.3,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4,2.3,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4,2.3,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4,2.3,0.281081989
19.68333333,155,91,0,0,0,0,0,1,34,28,2976,102,22,3.5,2.5,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3.5,2.5,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3.5,2.5,0.281081989
19.68333333,155,183,0,0,0,1,0,0,34,28,2976,102,22,4.5,2.5,0.266297043
19.68333333,155,183,0,0,0,1,0,0,34,28,2976,102,22,4.5,2.5,0.266297043
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,24,3.6,2.6,0.278897849
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3.6,2.6,0.278897849
19.68333333,155,95,0,0,0,0,0,1,34,28,2976,102,22,3,2.8,0.281081989
19.68333333,155,190,0,0,0,0,0,1,34,28,2976,102,22,3,2.8,0.281081989
19.68333333,155,190,0,0,0,0,0,1,34,28,2976,102,22,3,2.8,0.281081989
19.68333333,155,91,0,0,0,0,0,1,34,28,2976,102,22,3.8,2.8,0.281081989
19.68333333,155,91,0,0,0,0,0,1,34,28,2976,102,22,3.8,2.8,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3.8,2.8,0.280073925
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3.8,2.8,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3.8,2.8,0.281081989
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3.8,2.8,0.281081989
24.60416667,165,92,0,0,0,0,0,1,34,24,2568,102,22,2.6,2.9,0.301207165
24.60416667,165,185,0,0,0,0,0,1,34,24,2568,102,22,2.6,2.9,0.301207165
22.71153846,160,170,1,0,0,0,0,0,32,24,2400,102,18,1,3,0.275
22.71153846,160,170,1,0,0,0,0,0,32,24,2400,102,18,1,3,0.275
22.71153846,160,170,1,0,0,0,0,0,32,24,2400,102,18,1,3,0.275
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,102,20,2,3,0.297101449
19.68333333,145,172,0,0,0,0,0,0,30,28,2640,88,24,2,3,0.266098485
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,2,3,0.278897849
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,2,3,0.278897849
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,102,20,2,3,0.297101449
29.525,185,200,0,0,0,0,0,1,34,24,2568,102,22,2,3,0.323208723
22.71153846,160,85,0,0,0,0,0,1,30,26,2460,88,24,3,3,0.29695122
22.71153846,160,85,0,0,0,0,0,1,30,26,2460,90,24,3,3,0.28902439
22.71153846,160,85,0,1,0,0,0,0,30,26,2460,96,22,3,3,0.279471545
19.68333333,155,91,0,0,0,0,0,1,34,28,2976,102,22,3,3,0.281081989
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,100,23,3,3,0.288949275
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,100,23,3,3,0.297101449
22.71153846,160,96,0,1,0,0,0,0,34,26,2760,100,24,3,3,0.27807971
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,96,0,0,0,0,0,1,34,26,2760,102,24,3,3,0.297101449
29.525,185,100,0,0,0,0,0,1,34,24,2568,102,22,3,3,0.326323988
22.71153846,160,170,0,0,0,0,0,1,30,26,2460,88,24,3,3,0.29695122
22.71153846,160,170,0,0,0,0,0,1,30,26,2460,90,24,3,3,0.28902439
22.71153846,160,170,0,1,0,0,0,0,30,26,2460,96,22,3,3,0.279471545
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3,3,0.278897849
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,3,3,0.281081989
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,100,23,3,3,0.286050725
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,100,23,3,3,0.288949275
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,100,23,3,3,0.288949275
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,100,23,3,3,0.297101449
22.71153846,160,192,0,1,0,0,0,0,34,26,2760,100,24,3,3,0.27807971
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,102,20,3,3,0.288949275
22.71153846,160,192,0,0,0,0,0,1,34,26,2760,102,24,3,3,0.297101449
29.525,185,200,0,0,0,0,0,1,34,24,2568,102,22,3,3,0.326323988
22.71153846,160,85,0,0,0,0,0,1,30,26,2460,90,18,4,3,0.28902439
22.71153846,160,96,0,1,0,0,0,0,34,26,2760,100,23,4,3,0.278985507
22.71153846,160,170,0,0,0,0,0,1,30,26,2460,90,18,4,3,0.28902439
19.68333333,155,183,0,0,0,0,0,1,34,28,2976,102,22,4,3,0.281081989
22.71153846,160,192,0,1,0,0,0,0,34,26,2760,100,23,4,3,0.278985507
